date,day,time
6/23/2020,487,1.35
6/24/2020,488,1.36
6/25/2020,489,1.08
6/27/2020,490,1.06
6/28/2020,491,1.18
6/29/2020,492,1.11
6/30/2020,493,1.23
7/1/2020,494,1.35
7/2/2020,495,1.29
7/4/2020,496,1.14
7/5/2020,497,1.39
7/6/2020,498,1.13
7/7/2020,499,1.26
7/8/2020,500,1.35
7/9/2020,501,1.17
7/11/2020,502,1.22
7/12/2020,503,1.69
7/13/2020,504,0.98
7/14/2020,505,1.37
7/15/2020,506,1.71
7/16/2020,507,1.51
7/18/2020,508,1.25
7/19/2020,509,1.73
7/20/2020,510,1.4
7/21/2020,511,1.27
7/22/2020,512,1.31
7/23/2020,513,1.19
7/25/2020,514,1.19
7/26/2020,515,1.54
7/27/2020,516,1.1
7/28/2020,517,0.97
7/29/2020,518,1.2
7/30/2020,519,0.82
8/4/2020,520,1.23
8/5/2020,521,1.46
8/6/2020,522,1.58
8/8/2020,523,1.49
8/9/2020,524,1.93
8/10/2020,525,1.29
8/11/2020,526,1.63
8/12/2020,527,1.2
8/13/2020,528,1.6
8/15/2020,529,1.44
8/16/2020,530,1.56
8/17/2020,531,1.22
8/18/2020,532,1.6
8/19/2020,533,1.65
8/20/2020,534,1.59
8/22/2020,535,1.42
8/23/2020,536,1.59
8/24/2020,537,1.28
8/25/2020,538,1.4
8/26/2020,539,1.01
8/27/2020,540,1.24
8/29/2020,541,1.25
8/30/2020,542,1.72
8/31/2020,543,1.32
9/1/2020,544,1.07
9/2/2020,545,1.38
9/3/2020,546,1.33
9/5/2020,547,1.39
9/6/2020,548,1.56
9/7/2020,549,1.36
9/8/2020,550,1.53
9/9/2020,551,1.46
9/10/2020,552,1.19
9/12/2020,553,1.44
9/13/2020,554,1.62
9/14/2020,555,1.54
9/15/2020,556,1.32
9/16/2020,557,1.32
9/17/2020,558,1.42
9/19/2020,559,1.09
9/20/2020,560,1.2
9/21/2020,561,1.34
9/22/2020,562,1.19
9/23/2020,563,1.25
9/24/2020,564,1.61
9/26/2020,565,1.2
9/27/2020,566,1.62
9/28/2020,567,0.93
9/29/2020,568,1.29
9/30/2020,569,1.25
10/1/2020,570,1.23
10/3/2020,571,1.34
10/4/2020,572,1.81
10/5/2020,573,0.85
10/6/2020,574,1.22
10/7/2020,575,1.05
10/8/2020,576,1.04
10/10/2020,577,1.09
10/11/2020,578,1.21
10/12/2020,579,0.91
10/13/2020,580,1.29
10/14/2020,581,1.06
10/15/2020,582,1.46
10/17/2020,583,1.38
10/18/2020,584,1.73
